_row_id,augment_ranking_row_id,stage_order,stage_pick_rate,avg_ranking,raw_json
274,92,1,10.2,4.1,"{""stagePickRate"":10.2,""avgRanking"":4.1}"
275,92,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
276,92,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
277,93,1,10.62,4.21,"{""stagePickRate"":10.62,""avgRanking"":4.21}"
278,93,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
279,93,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
280,94,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
281,94,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
282,94,3,10.56,4.56,"{""stagePickRate"":10.56,""avgRanking"":4.56}"
283,95,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
284,95,2,10.2,4.32,"{""stagePickRate"":10.2,""avgRanking"":4.32}"
285,95,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
286,96,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
287,96,2,9.64,4.87,"{""stagePickRate"":9.64,""avgRanking"":4.87}"
288,96,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
289,97,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
290,97,2,4.95,4.92,"{""stagePickRate"":4.95,""avgRanking"":4.92}"
291,97,3,5,4.72,"{""stagePickRate"":5,""avgRanking"":4.72}"
292,98,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
293,98,2,9.22,4.34,"{""stagePickRate"":9.22,""avgRanking"":4.34}"
294,98,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
295,99,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
296,99,2,7.12,4.69,"{""stagePickRate"":7.12,""avgRanking"":4.69}"
297,99,3,2.77,4.15,"{""stagePickRate"":2.77,""avgRanking"":4.15}"
298,100,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
299,100,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
