_row_id,unit_ranking_row_id,equipment_order,equipment_id,equipment_img,raw_json
54,11,4,2046,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2046.png,"{""equipmentId"":2046,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2046.png""}"
55,11,5,2041,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2041.png,"{""equipmentId"":2041,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2041.png""}"
56,12,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
57,12,2,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
58,12,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
59,12,4,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
60,12,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
61,13,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
62,13,2,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
63,13,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
64,13,4,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
65,13,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
66,14,1,2001,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png,"{""equipmentId"":2001,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2001.png""}"
67,14,2,2010,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png,"{""equipmentId"":2010,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png""}"
68,14,3,9181,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/deadmansdagger.png,"{""equipmentId"":9181,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/deadmansdagger.png""}"
69,14,4,2004,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2004.png,"{""equipmentId"":2004,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2004.png""}"
70,14,5,9182,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/firstmatesflintlock.png,"{""equipmentId"":9182,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/firstmatesflintlock.png""}"
71,15,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
72,15,2,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
73,15,3,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
74,15,4,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
75,15,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
76,16,1,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
77,16,2,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
78,16,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
79,16,4,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
80,16,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
81,17,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
82,17,2,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
